retrieval_type,filter_type,prompt_type,generator_type,query,retrieval_time,retrieval_recall,retrieval_precision,retrieval_f1,retrieval_mrr,retrieval_ndcg,retrieval_average_precision,retrieval_mean_score,retrieval_max_score,retrieval_min_score,filter_time,prompt_time,generation_time,total_time,answer
chroma,threshold_cutoff,fstring,openai,What was the name of the film that Gwyneth Paltrow starred in as a musician?,0.14471888542175293,0.0,0.0,0.0,0.0,0.0,0.0,0.4422953683448986,0.4511487455581792,0.43644486958187695,0.10067081451416016,1.9073486328125e-06,0.6946959495544434,0.9400875568389893,"The film is called ""Country Strong"" (2010)"
chroma,threshold_cutoff,fstring,openai,What album did she re-release in Spanish?,0.0743558406829834,5.0,1.0,1.6666666666666667,1.0,2.9484591188793923,5.0,0.6847754853918343,0.7584087764945623,0.6490640734897212,0.07192587852478027,7.152557373046875e-06,0.45713305473327637,0.6034219264984131,B'Day
chroma,threshold_cutoff,fstring,openai,Work on a germ-free-life ended up in the creation of which Notre Dame institute?,0.03145909309387207,0.0,0.0,0.0,0.0,0.0,0.0,0.6947584013708029,0.8839736720530201,0.5887429298170022,0.07468914985656738,3.814697265625e-06,0.6908352375030518,0.7969872951507568,The study of a germ-free-life began at Notre Dame in 1928.
chroma,threshold_cutoff,fstring,openai,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",0.0610349178314209,0.0,0.0,0.0,0.0,0.0,0.0,0.6661060124017625,0.9439466813010735,0.5880333902050774,0.08338117599487305,3.0994415283203125e-06,0.47382116317749023,0.6182403564453125,the Protestant community
chroma,threshold_cutoff,fstring,openai,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",0.013565301895141602,0.0,0.0,0.0,0.0,0.0,0.0,0.7845594383444073,0.9119523325691712,0.7014051262071654,0.031073808670043945,2.86102294921875e-06,0.4872560501098633,0.531898021697998,Medieval Institute
chroma,threshold_cutoff,fstring,openai,Who personally influences Beyonce?,0.4435689449310303,0.0,0.0,0.0,0.0,0.0,0.0,0.5671030954222336,0.5671030954222336,0.5671030954222336,0.06660676002502441,2.86102294921875e-06,1.451037883758545,1.9612164497375488,"Beyonce has cited several personal influences in her life, including her mother, Tina Knowles, her husband, Jay-Z, and other family members. She has also mentioned artists such as Diana Ross, Whitney Houston, and Michael Jackson as influences on her music and career. Additionally, Beyonce has spoken about the impact of her faith and spirituality on her life and work."
chroma,threshold_cutoff,fstring,openai,What do other critics claim?,0.1109762191772461,0.0,0.0,0.0,0.0,0.0,0.0,0.5419965182115318,0.6715224408815802,0.48681761522758055,0.06534600257873535,1.9073486328125e-06,0.8337750434875488,1.010099172592163,"Other critics claim that the film lacks depth in its characters and storytelling, relying too heavily on visual effects and action sequences. Some also argue that the film's pacing is uneven and that it fails to fully explore the themes and potential of its source material."
chroma,threshold_cutoff,fstring,openai,How many wins does the Notre Dame men's basketball team have?,0.08651185035705566,0.0,0.0,0.0,0.0,0.0,0.0,0.7413957948195627,0.874004508328275,0.652469488866157,0.07941722869873047,3.0994415283203125e-06,0.6798567771911621,0.8457889556884766,12 schools have a similar men's basketball record to Notre Dame in terms of wins.
chroma,threshold_cutoff,fstring,openai,What was the child's name?,0.09140396118164062,3.0,0.6,0.9999999999999999,1.0,2.0177825608059994,2.6,0.5625229869331425,0.6209624995852217,0.511971221582195,0.09513330459594727,2.6226043701171875e-05,0.7623298168182373,0.9488933086395264,The child's name was Tommy.
chroma,threshold_cutoff,fstring,openai,How many BA majors does the College of Arts and Letters at Notre Dame offer?,0.034590959548950195,3.0,0.6,0.9999999999999999,1.0,1.8868528072345416,2.2666666666666666,0.7369453893688429,0.8572184640979617,0.6924242419848841,0.09918975830078125,3.0994415283203125e-06,0.6382448673248291,0.7720286846160889,more than 50
